aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments,lat,lon
478,487,"ΚΕΠ ΔΗΜΟΥ ΑΡΓΟΥΣ, Ν. ΑΡΓΟΛΙΔΑΣ","ΑΡΓΟΣ","ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΚΑΠΟΔΙΣΤΡΙΟΥ 36",21200,"2751360000 2751360020 2751360021 2751360022 2751360023 2751360024",2751069254,"d.argous@kep.gov.gr","",4.883499869000445,47.00936590800046
479,488,"ΚΕΠ ΔΗΜΟΥ ΝΑΥΠΛΙΟΥ, Ν. ΑΡΓΟΛΙΔΑΣ","ΔΗΜΟΤΙΚΟ ΣΤΑΔΙΟ ΝΑΥΠΛΙΟΥ","ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΔΗΜΟΤΙΚΟ ΣΤΑΔΙΟ ΝΑΥΠΛΙΟΥ -",21100,2752096145,2752096146,"d.nafpliou@kep.gov.gr","",22.85185322900043,37.58285328600044
480,489,"ΚΕΠ ΔΗΜΟΥ ΓΟΡΤΥΝΟΣ, Ν. ΑΡΚΑΔΙΑΣ","ΚΑΡΥΤΑΙΝΑ ΑΡΚΑΔΙΑΣ","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΚΑΡΥΤΑΙΝΑ ΑΡΚΑΔΙΑΣ",22022,2791031440,2791031441,"d.gortynos@kep.gov.gr","",22.07252289700045,37.48569158600049
481,490,"ΚΕΠ ΔΗΜΟΥ ΚΟΡΥΘΙΟΥ, Ν. ΑΡΚΑΔΙΑΣ","Στενό Αρκαδίας","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Στενό Αρκαδίας",22100,2710572902,2710572322,"d.korithiou@kep.gov.gr","",22.37204398300048,37.50537706300048
482,491,"ΚΕΠ ΔΗΜΟΥ ΤΡΙΠΟΛΗΣ, Ν. ΑΡΚΑΔΙΑΣ","ΤΡΙΠΟΛΗ","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΓΕΡΜΑΝΟΥ ΠΑΤΡΩΝ 3",22100,2710230246,2710230247,"d.tripolis@kep.gov.gr","",-2.053787832999547,48.44292597900051
483,492,"ΚΕΠ ΔΗΜΟΥ ΑΡΤΑΙΩΝ, Ν. ΑΡΤΑΣ","ΑΡΤΑ","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ 37",47100,2681021495,2681072717,"d.artaion@kep.gov.gr","",20.98695890400046,39.15316600600045
484,493,"ΚΕΠ ΔΗΜΟΥ ΗΡΑΚΛΕΙΑΣ, Ν. ΑΡΤΑΣ","ΑΝΩ ΚΑΛΕΝΤΙΝΗ","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","ΑΝΩ ΚΑΛΕΝΤΙΝΗ",47044,2681067026,2681067026,"d.irakleias-artis@kep.gov.gr","",21.18504106700044,39.24820936500049
485,494,"ΚΕΠ ΔΗΜΟΥ ΞΗΡΟΒΟΥΝΙΟΥ, Ν. ΑΡΤΑΣ","ΞΗΡΟΒΟΥΝΙ ΑΡΤΑΣ","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","ΞΗΡΟΒΟΥΝΙ ΑΡΤΑΣ","",2683081794,2683081795,"d.xirovouniou@kep.gov.gr","",20.98695890400046,39.15316600600045
486,495,"ΚΕΠ ΔΗΜΟΥ ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ, Ν. ΑΡΤΑΣ","Άρτα","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","Παναγιά Διάσελλου",47048,2681067659,2681067659,"d.gkaraiskaki@kep.gov.gr","",21.20024051300044,39.16803549600047
487,496,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΛΗΝΗΣ, Ν. ΑΤΤΙΚΗΣ","Παλλήνη Αττική","ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","Πεντέλης και Βυζαντίου 1",15351,2106664737,2106664200,"d.pallinis-attikis@kep.gov.gr","",23.87059554900043,38.00181539900046
488,497,"ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΣΥΚΑΜΙΝΟΥ, Ν. ΑΤΤΙΚΗΣ","ΣΥΚΑΜΙΝΟ ΩΡΟΠΟΥ","ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","ΛΕΟΦΩΡΟΣ ΩΡΟΠΟΥ",19015,2295071110,2295071111,"k.sykaminou@kep.gov.gr","",23.93059137200044,37.8774032930005
489,498,"ΚΕΠ ΔΗΜΟΥ ΝΕΟΥ ΨΥΧΙΚΟΥ, Ν. ΑΤΤΙΚΗΣ","ΝΕΟ ΨΥΧΙΚΟ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΑΝΑΤΟΛΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","ΤΕΡΤΣΕΤΗ 41",15451,2106727111,2106727111,"d.neoupsyhikou@kep.gov.gr","",23.78188723200043,38.00623097400046
490,499,"ΚΕΠ ΔΗΜΟΥ ΔΥΜΗΣ, Ν. ΑΧΑΙΑΣ","Δύμης Αχαϊας","ΝΟΜΟΣ ΑΧΑΪΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Φλέμινγκ & Σ. Ταυρομενέος",25200,2693022630,2693022629,"d.dymis@kep.gov.gr","",21.52634249000045,38.06979174900044
491,500,"ΚΕΠ ΔΗΜΟΥ ΚΑΛΑΒΡΥΤΩΝ, Ν . ΑΧΑΐΑΣ","Καλάβρυτα","ΝΟΜΟΣ ΑΧΑΪΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Αγ. Αλεξίου, Καλάβρυτα",25001,2692022666,2692022656,"d.kalavriton@kep.gov.gr","",22.11010858300045,38.03319905700045
492,501,"ΚΕΠ ΔΗΜΟΥ ΟΡΧΟΜΕΝΟΥ, Ν. ΒΟΙΩΤΙΑΣ","ΟΡΧΟΜΕΝΟΥ ΒΟΙΩΤΙΑΣ","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΠΕΣΟΝΤΩΝ ΜΑΧΗΤΩΝ 8",32300,2261032315,2261032115,"d.orhomenou@kep.gov.gr","",20.48968844100045,44.01359683800047
493,502,"ΚΕΠ ΔΗΜΟΥ ΑΡΑΧΩΒΗΣ, Ν. ΒΟΙΩΤΙΑΣ","Αράχωβα Βοιωτίας","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Πλατεία Ξενία",32004,2267029125,2267029126,"d.arahovis@kep.gov.gr","",22.58433635800043,38.5007801270005
494,503,"ΚΕΠ ΔΗΜΟΥ ΠΛΑΤΑΙΩΝ, Ν. ΒΟΙΩΤΙΑΣ","ΔΗΜΟΥ ΠΛΑΤΑΙΩΝ, Ν. ΒΟΙΩΤΙΑΣ","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΚΑΠΑΡΕΛΛΙ - ΘΗΒΩΝ -",32200,2262098857,2262098858,"d.plataion@kep.gov.gr","",23.31633929000043,38.38671806600047
495,504,"ΚΕΠ ΔΗΜΟΥ ΣΧΗΜΑΤΑΡΙΟΥ, Ν. ΒΟΙΩΤΙΑΣ","ΣΧΗΜΑΤΑΡΙ-ΒΟΙΩΤΙΑΣ","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΙΟΚΑΣΤΗΣ 17",32009,2262059800,2262056723,"d.shimatariou@kep.gov.gr","",23.58243330300047,38.31017641000045
496,505,"ΚΕΠ ΔΗΜΟΥ ΤΑΝΑΓΡΑΣ, Ν. ΒΟΙΩΤΙΑΣ","ΤΑΝΑΓΡΑ","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΣΩΠΙΑΣ",32200,2262095375,2262095901,"d.tanagras@kep.gov.gr","",23.06160010900044,60.8445001180005
497,506,"ΚΕΠ ΔΗΜΟΥ ΓΡΕΒΕΝΩΝ, Ν. ΓΡΕΒΕΝΩΝ","ΓΡΕΒΕΝΑ","ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ","ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΦΑΡΔΥΚΑΜΠΟΥ 2",51100,"2462350000 2462350001 2462350002 2462350003 2462350006 2462350007 2462350008",2462350005,"d.grevenon@kep.gov.gr","",4.040148992000411,49.2517748730005
498,507,"ΚΕΠ ΔΗΜΟΥ ΒΙΝΙΑΝΗΣ, Ν. ΕΥΡΥΤΑΝΙΑΣ","ΒΙΝΙΑΝΗΣ -ΕΥΡΥΤΑΝΙΑΣ","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΚΕΡΑΣΟΧΩΡΙ ΕΥΡΥΤΑΝΙΑΣ -",36071,2237031891,2237031892,"d.vinianis@kep.gov.gr","",-43.4388901519996,-21.71093979899962
499,508,"ΚΕΠ ΔΗΜΟΥ ΑΓΡΑΦΩΝ, Ν. ΕΥΡΥΤΑΝΙΑΣ","Ευρυτανία","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Αγραφα",36073,2237093335,2237093335,"d.agrafon@kep.gov.gr","",21.64850945800043,39.13872397100045
500,509,"ΚΕΠ ΔΗΜΟΥ ΚΤΗΜΕΝΙΩΝ, Ν. ΕΥΡΥΤΑΝΙΑΣ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΓΙΑΣ ΤΡΙΑΔΑΣ","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΓΙΑΣ ΤΡΙΑΔΑΣ","","2237096089 2237096028",2237096100,"d.ktimenion@kep.gov.gr","",21.18149921000043,40.48205594100045
501,510,"ΚΕΠ ΔΗΜΟΥ ΦΟΥΡΝΑΣ, Ν. ΕΥΡΥΤΑΝΙΑΣ","ΦΟΥΡΝΑΣ ΕΥΡΥΤΑΝΙΑΣ","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΦΟΥΡΝΑΣ ΕΥΡΥΤΑΝΙΑΣ",36080,2237051633,2237051632,"d.fourna@kep.gov.gr","",35.12251132100045,32.71251466600046
502,511,"ΚΕΠ ΔΗΜΟΥ ΦΡΑΓΚΙΣΤΑ, Ν. ΕΥΡΥΤΑΝΙΑΣ","ΔΥΤΙΚΗ ΦΡΑΓΚΙΣΤΑ","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΔΥΤΙΚΗ ΦΡΑΓΚΙΣΤΑ -",36071,2237095740,2237095795,"d.fragkistas@kep.gov.gr","",21.64493605600046,39.01288387900047
503,512,"ΚΕΠ ΔΗΜΟΥ ΑΙΔΗΨΟΥ, Ν. ΕΥΒΟΙΑΣ","Αιδηψός","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Ερμού 84",34300,2226069178,2226069177,"d.aidipsou@kep.gov.gr","",22.92125200200047,38.86311408900048
504,513,"ΚΕΠ ΔΗΜΟΥ ΑΝΘΗΔΩΝΟΣ, Ν. ΕΥΒΟΙΑΣ","ΔΡΟΣΙΑ ΕΥΒΟΙΑΣ","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΔΡΟΣΙΑ-ΙΕΡΕΩΣ ΔΗΜΗΤΡΙΟΥ ΑΦΡΑΤΗ -",34100,2221062192,2221097014,"d.anthidonos@kep.gov.gr","",23.68069711600043,38.47433991100047
505,514,"ΚΕΠ ΔΗΜΟΥ ΑΥΛΙΔΟΣ, Ν. ΕΥΒΟΙΑΣ","Αυλίδα Εύβοιας","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Βαθύ Αυλίδας","",2221030610,2221030610,"d.avlidos@kep.gov.gr","",23.60383629400047,38.40695618300049
506,515,"ΚΕΠ ΔΗΜΟΥ ΑΥΛΩΝΟΣ, Ν. ΕΥΒΟΙΑΣ","ΚΑΡΥΣΤΙΑ","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Αυλωνάρι",34009,2223032341,2223032341,"d.avlonos-evoias@kep.gov.gr","",24.12263254700048,38.50304405800046
507,516,"ΚΕΠ Δ. Κύμης","","","Ν.Α. ΕΥΒΟΙΑΣ","Πλατεία Κόνα,",34003,"","","","",24.07010733400045,38.6337501970005
508,517,"ΚΕΠ ΔΗΜΟΥ ΛΗΛΑΝΤΙΩΝ, Ν. ΕΥΒΟΙΑΣ","ΒΑΣΙΛΙΚΟ ΕΥΒΟΙΑΣ","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 44",34002,2221061556,2221061557,"d.lilantion@kep.gov.gr","",-4.527640266999583,42.00619993400045
509,518,"ΚΕΠ ΔΗΜΟΥ ΜΑΡΜΑΡΙΟΥ, Ν. ΕΥΒΟΙΑΣ","ΜΑΡΜΑΡΙ ΕΥΒΟΙΑΣ","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΜΑΡΜΑΡΙ ΕΥΒΟΙΑΣ",34013,2224032176,2224032177,"d.marmariou@kep.gov.gr","",24.34806253600044,38.10043752700045
510,519,"ΚΕΠ ΔΗΜΟΥ ΣΤΥΡΕΩΝ, Ν. ΕΥΒΟΙΑΣ","Στύρα","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","Στύρα",34015,2224051557,2224051557,"d.styraion@kep.gov.gr","",24.24046299100047,38.15502048400049
511,520,"ΚΕΠ ΔΗΜΟΥ ΑΛΥΚΩΝ, Ν. ΖΑΚΥΝΘΟΥ","ΚΑΤΑΣΤΑΡΙ Ν.ΖΑΚΥΝΘΟΥ","ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ","ΙΟΝΙΩΝ ΝΗΣΩΝ","ΚΑΤΑΣΤΑΡΙ Ν.ΖΑΚΥΝΘΟΥ -",29090,2695085081,2695085082,"d.alykon@kep.gov.gr","",20.76388974200046,37.81873813300047
512,521,"ΚΕΠ ΔΗΜΟΥ ΒΑΡΘΟΛΟΜΙΟΥ, Ν. ΗΛΕΙΑΣ","ΒΑΡΘΟΛΟΜΙΟ ΗΛΕΙΑΣ","ΝΟΜΟΣ ΗΛΕΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","ΝΙΚΟΛΑΟΥ ΒΟΥΡΤΣΗ",27050,2623043808,2623043811,"d.vartholomiou@kep.gov.gr","",21.17466869300046,37.86545808900047
513,522,"ΚΕΠ ΔΗΜΟΥ ΒΟΥΠΡΑΣΙΑΣ, Ν. ΗΛΕΙΑΣ","ΒΑΡΔΑ ΗΛΕΙΑΣ","ΝΟΜΟΣ ΗΛΕΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","25ης Μαρτίου 7",27052,2623075824,2623075827,"d.vouprasias@kep.gov.gr","",21.41497350900045,37.97494098600049
514,523,"ΚΕΠ ΔΗΜΟΥ ΣΚΙΛΛΟΥΝΤΟΣ, Ν. ΗΛΕΙΑΣ","Κρέστενα","ΝΟΜΟΣ ΗΛΕΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Αγ. Γεωργίου, Κρέστενα 8",27055,2625025717,2625025723,"d.skillountos@kep.gov.gr","",21.64229694900047,37.58580447100047
515,524,"ΚΕΠ ΔΗΜΟΥ ΑΝΤΙΓΟΝΙΔΩΝ, Ν. ΗΜΑΘΙΑΣ","Ημαθία","ΝΟΜΟΣ ΗΜΑΘΙΑΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","Καβάσιλα -",59100,"2331351804 2331351805 2331351806 2331351807",2331077179,"d.antigonidon@kep.gov.gr","",22.20280329000048,40.52497297600047
516,525,"ΚΕΠ ΔΗΜΟΥ ΑΡΚΑΛΟΧΩΡΙΟΥ, Ν. ΗΡΑΚΛΕΙΟΥ","ΑΡΚΑΛΟΧΩΡΙ","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","ΕΛ.ΒΕΝΙΖΕΛΟΥ -",70300,"2891340502 2891340503",2891340506,"d.arkalohoriou@kep.gov.gr","",25.29767537400045,35.11266554400049
517,526,"ΚΕΠ ΔΗΜΟΥ ΑΣΤΕΡΟΥΣΙΩΝ, Ν. ΗΡΑΚΛΕΙΟΥ","Πύργος Μονοφατσίου","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","Πύργος Μονοφατσίου",70010,"2893022788-2893022433",2893022857,"d.asterousion@kep.gov.gr","",25.18370900400043,35.03573914400045
518,527,"ΚΕΠ ΔΗΜΟΥ ΓΟΥΒΩΝ, Ν. ΗΡΑΚΛΕΙΟΥ","ΓΟΥΒΕΣ ΛΙΜΝΗ ΧΕΡΣΟΝΗΣΟΥ","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","ΓΟΥΒΕΣ ΛΙΜΝΗ ΧΕΡΣΟΝΗΣΟΥ",70014,2810763200,2810762660,"d.gouvon@kep.gov.gr","",25.37143374900046,35.30783574400044
519,528,"ΚΕΠ ΔΗΜΟΥ ΕΠΙΣΚΟΠΗΣ, Ν. ΗΡΑΚΛΕΙΟΥ","Ηράκλειο, Κρήτη","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","Επισκοπή",70008,2810771537,2810771258,"d.episkopis@kep.gov.gr","",25.23767119900043,35.25807595200047
520,529,"ΚΕΠ ΔΗΜΟΥ Ν. ΑΛΙΚΑΡΝΑΣΣΟΥ, Ν. ΗΡΑΚΛΕΙΟΥ","Ν. Αλικαρνασσού, Ν. Ηρακλείου","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","Διονυσίου 13Α",71601,2810333355,2810333299,"d.neasalikarnassou@kep.gov.gr","",25.17315926000043,35.33443124800044
521,530,"ΚΕΠ ΔΗΜΟΥ ΜΑΡΓΑΡΙΤΙΟΥ, Ν. ΘΕΣΠΡΩΤΙΑΣ","ΜΑΡΓΑΡΙΤΗ","ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ","ΗΠΕΙΡΟΥ","ΚΤΙΡΙΟ ΔΗΜΑΡΧΕΙΟΥ",46030,2665029225,2665094207,"d.margaritou@kep.gov.gr","",20.37514193200047,39.39848305800047
522,531,"ΚΕΠ ΔΗΜΟΥ ΑΓ. ΑΘΑΝΑΣΙΟΥ, Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ","ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΠΛΑΤΕΙΑ ΙΩΑΝΝΟΥ ΜΕΤΑΞΑ",57003,2310702912,2310702752,"d.agathanasiou@kep.gov.gr","",22.73002499600045,40.70773702500048
523,532,"ΚΕΠ ΔΗΜΟΥ ΦΙΛΟΘΕΗΣ, Ν. ΑΡΤΑΣ","ΦΙΛΟΘΕΗ ΑΡΤΑΣ","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","ΦΙΛΟΘΕΗ ΑΡΤΑΣ",47042,2681052561,2681052562,"d.filotheis-artis@kep.gov.gr","",20.98695890400046,39.15316600600045
524,533,"ΚΕΠ ΔΗΜΟΥ ΤΡΙΑΝΔΡΙΑΣ, Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ","ΤΡΙΑΝΔΡΙΑ","ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΣΠΥΡΟΥ ΜΟΥΣΤΑΚΛΗ 1",55337,2310953824,2310953825,"d.triandrias@kep.gov.gr","",22.97531711600044,40.6301476000005
525,534,"ΚΕΠ ΔΗΜΟΥ ΑΝΩ ΠΩΓΩΝΙΟΥ, Ν. ΙΩΑΝΝΙΝΩΝ","ΑΝΩ ΠΩΓΩΝΙΟΥ","ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ","ΗΠΕΙΡΟΥ","Κεφαλόβρυσο",44006,2657041156,2657041161,"d.anopogoniou@kep.gov.gr","",20.55929793800044,40.0140304200005
526,535,"ΚΕΠ ΔΗΜΟΥ ΦΟΙΝΙΚΑ Ν. ΡΕΘΥΜΝΟΥ","ΦΟΙΝΙΚΑΣ ΡΕΘΥΜΝΟΥ","ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ","ΚΡΗΤΗΣ","ΚΟΞΑΡΕ Δημ.ΦΟΙΝΙΚΑ",74053,2832051310,2832051240,"d.foinika@kep.gov.gr","",24.55663901900044,35.17790926100048
527,536,"ΚΕΠ ΔΗΜΟΥ ΚΑΤΣΑΝΟΧΩΡΙΩΝ, Ν. ΙΩΑΝΝΙΝΩΝ","Κατσανοχωρίων","ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ","ΗΠΕΙΡΟΥ","ΚΑΛΕΝΤΖΙ -",44013,"2659360014 2659360019",2659022120,"d.katsanohorion@kep.gov.gr","",20.97660184600045,39.4881001710005
528,537,"ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΔΙΣΤΡΑΤΟΥ, Ν. ΙΩΑΝΝΙΝΩΝ","ΔΙΣΤΡΑΤΟ","ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ","ΗΠΕΙΡΟΥ","ΠΑΛΑΙΟΣΕΛΙ",44019,2655029350,2655029350,"d.distratou@kep.gov.gr","",20.94336523900046,40.05823865400049
529,538,"ΚΕΠ ΔΗΜΟΥ ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ, Ν. ΚΑΒΑΛΑΣ","ΕΛΕΥΘΕΡΟΥΠΟΛΗ ΚΑΒΑΛΑΣ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΚΑΒΑΛΑΣ","ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","ΦΡΙΞΟΥ ΠΑΠΑΧΡΗΣΤΙΔΗ 137A",64100,2592021250,2592021252,"d.eleftheroupolis@kep.gov.gr","",24.24380239500044,40.92384757100047
530,539,"ΚΕΠ ΔΗΜΟΥ ΠΙΕΡΕΩΝ, Ν. ΚΑΒΑΛΑΣ","Καβάλα","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΚΑΒΑΛΑΣ","ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ","Δωματία",64008,2592021710,2592021711,"d.piereon@kep.gov.gr","",24.14293463300044,40.86522343300049
531,540,"ΚΕΠ ΔΗΜΟΥ ΚΑΜΠΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ","ΚΑΜΠΟΣ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΣΤΑΥΡΟΥ ΚΑΡΔΙΤΣΑ",43100,2441061334,2441061335,"d.kampou@kep.gov.gr","",21.92348794100047,39.36433617200049
532,541,"ΚΕΠ ΔΗΜΟΥ ΝΕΒΡΟΠΟΛΗΣ ΑΓΡΑΦΩΝ, Ν. ΚΑΡΔΙΤΣΑΣ","ΝΕΒΡΟΠΟΛΗ ΑΓΡΑΦΩΝ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΝΕΒΡΟΠΟΛΗ ΑΓΡΑΦΩΝ -",43100,2441099029,2441092931,"d.nevropolis@kep.gov.gr","",21.87375019100045,39.28565185400049
533,542,"ΚΕΠ ΔΗΜΟΥ ΠΑΜΙΣΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ","ΔΗΜΟΥ ΠΑΜΙΣΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΑΡΓΑΝΤΕΡΟ",43061,2441082111,2441082277,"d.pamisou@kep.gov.gr","",21.89516200300045,39.45841736600045
534,543,"ΚΕΠ ΔΗΜΟΥ ΠΛΑΣΤΗΡΑ, Ν. ΚΑΡΔΙΤΣΑΣ","Μορφοβούνι Καρδίτσας","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","Δημαρχείο Πλαστήρα",43067,2441095312,2441095360,"d.plastira@kep.gov.gr","",21.71648421800046,39.30437727100048
535,544,"ΚΕΠ ΔΗΜΟΥ ΤΑΜΑΣΙΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ","ΛΕΟΝΤΑΡΙ ΚΑΡΔΙΤΣΑΣ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΛΕΟΝΤΑΡΙ ΚΑΡΔΙΤΣΑΣ",43063,2443031002,2443031006,"d.tamasiou@kep.gov.gr","",22.12840650600043,39.18198702500047
536,545,"ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΝΑΤΟΛΙΚΗΣ ΑΡΓΙΘΕΑΣ, Ν. ΚΑΡΔΙΤΣΑΣ","ΑΝΑΤΟΛΙΚΗ ΑΡΓΙΘΕΑ ΚΑΡΔΙΤΣΑΣ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΑΝΑΤΟΛΙΚΗ ΑΡΓΙΘΕΑ ΚΑΡΔΙΤΣΑΣ",43060,2445031621,2445031221,"d.anatargitheas@kep.gov.gr","",21.66586231000048,39.42695539200048
