aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments
512,521,"ΚΕΠ ΔΗΜΟΥ ΒΑΡΘΟΛΟΜΙΟΥ, Ν. ΗΛΕΙΑΣ",ΒΑΡΘΟΛΟΜΙΟ ΗΛΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΙΚΟΛΑΟΥ ΒΟΥΡΤΣΗ,27050,2623043808,2623043811,d.vartholomiou@kep.gov.gr,
513,522,"ΚΕΠ ΔΗΜΟΥ ΒΟΥΠΡΑΣΙΑΣ, Ν. ΗΛΕΙΑΣ",ΒΑΡΔΑ ΗΛΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,25ης Μαρτίου 7,27052,2623075824,2623075827,d.vouprasias@kep.gov.gr,
514,523,"ΚΕΠ ΔΗΜΟΥ ΣΚΙΛΛΟΥΝΤΟΣ, Ν. ΗΛΕΙΑΣ",Κρέστενα,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,"Αγ. Γεωργίου, Κρέστενα 8",27055,2625025717,2625025723,d.skillountos@kep.gov.gr,
515,524,"ΚΕΠ ΔΗΜΟΥ ΑΝΤΙΓΟΝΙΔΩΝ, Ν. ΗΜΑΘΙΑΣ",Ημαθία,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Καβάσιλα -,59100,2331351804 2331351805 2331351806 2331351807,2331077179,d.antigonidon@kep.gov.gr,
516,525,"ΚΕΠ ΔΗΜΟΥ ΑΡΚΑΛΟΧΩΡΙΟΥ, Ν. ΗΡΑΚΛΕΙΟΥ",ΑΡΚΑΛΟΧΩΡΙ,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,ΕΛ.ΒΕΝΙΖΕΛΟΥ -,70300,2891340502 2891340503,2891340506,d.arkalohoriou@kep.gov.gr,
517,526,"ΚΕΠ ΔΗΜΟΥ ΑΣΤΕΡΟΥΣΙΩΝ, Ν. ΗΡΑΚΛΕΙΟΥ",Πύργος Μονοφατσίου,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,Πύργος Μονοφατσίου,70010,2893022788-2893022433,2893022857,d.asterousion@kep.gov.gr,
518,527,"ΚΕΠ ΔΗΜΟΥ ΓΟΥΒΩΝ, Ν. ΗΡΑΚΛΕΙΟΥ",ΓΟΥΒΕΣ ΛΙΜΝΗ ΧΕΡΣΟΝΗΣΟΥ,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,ΓΟΥΒΕΣ ΛΙΜΝΗ ΧΕΡΣΟΝΗΣΟΥ,70014,2810763200,2810762660,d.gouvon@kep.gov.gr,
519,528,"ΚΕΠ ΔΗΜΟΥ ΕΠΙΣΚΟΠΗΣ, Ν. ΗΡΑΚΛΕΙΟΥ","Ηράκλειο, Κρήτη",ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,Επισκοπή,70008,2810771537,2810771258,d.episkopis@kep.gov.gr,
520,529,"ΚΕΠ ΔΗΜΟΥ Ν. ΑΛΙΚΑΡΝΑΣΣΟΥ, Ν. ΗΡΑΚΛΕΙΟΥ","Ν. Αλικαρνασσού, Ν. Ηρακλείου",ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,Διονυσίου 13Α,71601,2810333355,2810333299,d.neasalikarnassou@kep.gov.gr,
521,530,"ΚΕΠ ΔΗΜΟΥ ΜΑΡΓΑΡΙΤΙΟΥ, Ν. ΘΕΣΠΡΩΤΙΑΣ",ΜΑΡΓΑΡΙΤΗ,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ,ΚΤΙΡΙΟ ΔΗΜΑΡΧΕΙΟΥ,46030,2665029225,2665094207,d.margaritou@kep.gov.gr,
522,531,"ΚΕΠ ΔΗΜΟΥ ΑΓ. ΑΘΑΝΑΣΙΟΥ, Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ",ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΛΑΤΕΙΑ ΙΩΑΝΝΟΥ ΜΕΤΑΞΑ,57003,2310702912,2310702752,d.agathanasiou@kep.gov.gr,
523,532,"ΚΕΠ ΔΗΜΟΥ ΦΙΛΟΘΕΗΣ, Ν. ΑΡΤΑΣ",ΦΙΛΟΘΕΗ ΑΡΤΑΣ,ΝΟΜΟΣ ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,ΦΙΛΟΘΕΗ ΑΡΤΑΣ,47042,2681052561,2681052562,d.filotheis-artis@kep.gov.gr,
524,533,"ΚΕΠ ΔΗΜΟΥ ΤΡΙΑΝΔΡΙΑΣ, Ν. ΘΕΣΣΑΛΟΝΙΚΗΣ",ΤΡΙΑΝΔΡΙΑ,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΠΥΡΟΥ ΜΟΥΣΤΑΚΛΗ 1,55337,2310953824,2310953825,d.triandrias@kep.gov.gr,
525,534,"ΚΕΠ ΔΗΜΟΥ ΑΝΩ ΠΩΓΩΝΙΟΥ, Ν. ΙΩΑΝΝΙΝΩΝ",ΑΝΩ ΠΩΓΩΝΙΟΥ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,Κεφαλόβρυσο,44006,2657041156,2657041161,d.anopogoniou@kep.gov.gr,
526,535,ΚΕΠ ΔΗΜΟΥ ΦΟΙΝΙΚΑ Ν. ΡΕΘΥΜΝΟΥ,ΦΟΙΝΙΚΑΣ ΡΕΘΥΜΝΟΥ,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,ΚΡΗΤΗΣ,ΚΟΞΑΡΕ Δημ.ΦΟΙΝΙΚΑ,74053,2832051310,2832051240,d.foinika@kep.gov.gr,
527,536,"ΚΕΠ ΔΗΜΟΥ ΚΑΤΣΑΝΟΧΩΡΙΩΝ, Ν. ΙΩΑΝΝΙΝΩΝ",Κατσανοχωρίων,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΚΑΛΕΝΤΖΙ -,44013,2659360014 2659360019,2659022120,d.katsanohorion@kep.gov.gr,
528,537,"ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΔΙΣΤΡΑΤΟΥ, Ν. ΙΩΑΝΝΙΝΩΝ",ΔΙΣΤΡΑΤΟ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΠΑΛΑΙΟΣΕΛΙ,44019,2655029350,2655029350,d.distratou@kep.gov.gr,
529,538,"ΚΕΠ ΔΗΜΟΥ ΕΛΕΥΘΕΡΟΥΠΟΛΗΣ, Ν. ΚΑΒΑΛΑΣ",ΕΛΕΥΘΕΡΟΥΠΟΛΗ ΚΑΒΑΛΑΣ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΚΑΒΑΛΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΦΡΙΞΟΥ ΠΑΠΑΧΡΗΣΤΙΔΗ 137A,64100,2592021250,2592021252,d.eleftheroupolis@kep.gov.gr,
530,539,"ΚΕΠ ΔΗΜΟΥ ΠΙΕΡΕΩΝ, Ν. ΚΑΒΑΛΑΣ",Καβάλα,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΚΑΒΑΛΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Δωματία,64008,2592021710,2592021711,d.piereon@kep.gov.gr,
531,540,"ΚΕΠ ΔΗΜΟΥ ΚΑΜΠΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ",ΚΑΜΠΟΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΣΤΑΥΡΟΥ ΚΑΡΔΙΤΣΑ,43100,2441061334,2441061335,d.kampou@kep.gov.gr,
532,541,"ΚΕΠ ΔΗΜΟΥ ΝΕΒΡΟΠΟΛΗΣ ΑΓΡΑΦΩΝ, Ν. ΚΑΡΔΙΤΣΑΣ",ΝΕΒΡΟΠΟΛΗ ΑΓΡΑΦΩΝ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΝΕΒΡΟΠΟΛΗ ΑΓΡΑΦΩΝ -,43100,2441099029,2441092931,d.nevropolis@kep.gov.gr,
533,542,"ΚΕΠ ΔΗΜΟΥ ΠΑΜΙΣΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ","ΔΗΜΟΥ ΠΑΜΙΣΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ",ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΑΡΓΑΝΤΕΡΟ,43061,2441082111,2441082277,d.pamisou@kep.gov.gr,
534,543,"ΚΕΠ ΔΗΜΟΥ ΠΛΑΣΤΗΡΑ, Ν. ΚΑΡΔΙΤΣΑΣ",Μορφοβούνι Καρδίτσας,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,Δημαρχείο Πλαστήρα,43067,2441095312,2441095360,d.plastira@kep.gov.gr,
535,544,"ΚΕΠ ΔΗΜΟΥ ΤΑΜΑΣΙΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ",ΛΕΟΝΤΑΡΙ ΚΑΡΔΙΤΣΑΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΛΕΟΝΤΑΡΙ ΚΑΡΔΙΤΣΑΣ,43063,2443031002,2443031006,d.tamasiou@kep.gov.gr,
536,545,"ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΝΑΤΟΛΙΚΗΣ ΑΡΓΙΘΕΑΣ, Ν. ΚΑΡΔΙΤΣΑΣ",ΑΝΑΤΟΛΙΚΗ ΑΡΓΙΘΕΑ ΚΑΡΔΙΤΣΑΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΑΝΑΤΟΛΙΚΗ ΑΡΓΙΘΕΑ ΚΑΡΔΙΤΣΑΣ,43060,2445031621,2445031221,d.anatargitheas@kep.gov.gr,
537,546,"ΚΕΠ ΔΗΜΟΥ ΜΟΥΖΑΚΙΟΥ, Ν. ΚΑΡΔΙΤΣΑΣ",ΚΑΡΔΙΤΣΑ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,- -,43060,2445049121 2445049122,2445049123,d.mouzakiou@kep.gov.gr,
538,547,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΑΜΑ, Ν. ΚΑΡΔΙΤΣΑΣ",ΠΑΛΑΜΑ-ΚΑΡΔΙΤΣΑΣ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 10,43200,2444029086,2444029087,d.palama@kep.gov.gr,
539,548,"ΚΕΠ ΔΗΜΟΥ ΚΑΡΔΙΤΣΑΣ, Ν. ΚΑΡΔΙΤΣΑΣ",ΚΑΡΔΙΤΣΑ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΚΟΛΟΚΟΤΡΩΝΗ 8,43100,2441080620,2441080622,d.karditsas@kep.gov.gr,
540,549,"ΚΕΠ ΔΗΜΟΥ ΑΧΙΛΛΕΙΩΝ, Ν. ΚΕΡΚΥΡΑΣ",Χρυσίδα,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Χρυσίδα,49082,2661049911,2661080015,d.ahilleion@kep.gov.gr,
541,550,"ΚΕΠ ΔΗΜΟΥ ΕΛΕΙΟΥ ΠΡΟΝΩΝ, Ν. ΚΕΦΑΛΛΗΝΙΑΣ",ΠΑΣΤΡΑ Ν. Κεφαλληνίας,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Πάστρα,28086,2671081765,2671081766,d.eleioupronon@kep.gov.gr,
542,551,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΙΚΗΣ, Ν. ΚΕΦΑΛΛΗΝΙΑΣ",ΠΑΛΙΚΗ,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΣΤΥΛΙΑΝΟΥ ΤΥΠΑΛΔΟΥ 16,28200,2671093900,2671092636,d.palikis@kep.gov.gr,
543,552,"ΚΕΠ ΔΗΜΟΥ ΣΑΜΗΣ, Ν. ΚΕΦΑΛΛΗΝΙΑΣ",-,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ ΚΑΙ ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Ι. Μεταξά 27,28080,2674023721,2674023722,d.samis@kep.gov.gr,
544,553,"ΚΕΠ ΔΗΜΟΥ ΕΥΡΩΣΤΙΝΗΣ, Ν. ΚΟΡΙΝΘΙΑΣ",-,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Δερβένι,20009,2743030092,2743030090,d.evrostinis@kep.gov.gr,
545,554,"ΚΕΠ ΔΗΜΟΥ ΝΕΜΕΑΣ, Ν. ΚΟΡΙΝΘΙΑΣ",Νεμέα,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Ελευθερίου Βενιζέλου 41A,,2746020520,2746020526,d.nemeas@kep.gov.gr,
546,555,"ΚΕΠ ΔΗΜΟΥ ΚΟΡΙΝΘΙΩΝ, Ν. ΚΟΡΙΝΘΙΑΣ",ΚΟΡΙΝΘΟΣ,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΔΕΙΜΑΝΤΟΥ 53,20100,2741362100 2741362101 2741362102 2741362103 2741362108,2741362123,d.korinthion@kep.gov.gr,
547,556,"ΚΕΠ ΔΗΜΟΥ ΛΟΥΤΡΑΚΙΟΥ -ΠΕΡΑΧΩΡΑΣ, Ν. ΚΟΡΙΝΘΙΑΣ",ΛΟΥΤΡΑΚΙ ΠΕΡΑΧΩΡΑΣ,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΔΙΟΝΥΣΙΟΥ ΣΟΛΩΜΟΥ 4,20300,2744069444,2744069446,d.loutrakiou@kep.gov.gr,
548,557,"ΚΕΠ ΔΗΜΟΥ ΣΙΚΥΩΝΙΩΝ, Ν. ΚΟΡΙΝΘΙΑΣ",ΚΙΑΤΟ,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΓΕΩΡΓΙΟΥ ΜΑΥΡΟΥΛΙΑ 13,20200,2742020841,2742021840,d.sikyonion@kep.gov.gr,
549,558,"ΚΕΠ ΔΗΜΟΥ ΣΑΡΩΝΙΚΟΥ (ΑΘΙΚΙΩΝ), Ν. ΚΟΡΙΝΘΙΑΣ",-,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Αθίκια,20005,2741039930,2741039834,d.saronikou@kep.gov.gr,
550,559,"ΚΕΠ ΔΗΜΟΥ ΓΥΘΕΙΟΥ, Ν. ΛΑΚΩΝΙΑΣ",ΓΥΘΕΙΟ,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΓΥΘΕΙΟ,23200,2733029037,2733029033,d.gythiou@kep.gov.gr,
551,560,"ΚΕΠ ΔΗΜΟΥ ΕΛΟΥΣ, Ν. ΛΑΚΩΝΙΑΣ",Βλαχιώτη Λακωνίας,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Βλαχιώτη Λακωνίας,,2735029125,2735029126,d.elous@kep.gov.gr,
552,561,"ΚΕΠ ΔΗΜΟΥ ΘΕΡΑΠΝΩΝ, Ν. ΛΑΚΩΝΙΑΣ",Λακωνία,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Γκορίτσα,23100,2731074560,2731074561,d.therapnon@kep.gov.gr,
553,562,"ΚΕΠ ΔΗΜΟΥ ΖΑΡΑΚΑ, Ν. ΛΑΚΩΝΙΑΣ",ΡΕΙΧΙΑ ΛΑΚΩΝΙΑΣ,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΡΕΙΧΙΑ ΛΑΚΩΝΙΑΣ,,2732051152,2732051151,d.zaraka@kep.gov.gr,
554,563,"ΚΕΠ ΔΗΜΟΥ ΜΥΣΤΡΑ, Ν. ΛΑΚΩΝΙΑΣ",Μυστράς Λακωνίας,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Μυστράς,23100,2731089370,2731089371,d.mystra@kep.gov.gr,
555,564,"ΚΕΠ ΔΗΜΟΥ ΚΡΟΚΕΩΝ, Ν. ΛΑΚΩΝΙΑΣ",Κροκέες Λακωνία,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Κροκεές,23057,2735071722,2735029038,d.krokeon@kep.gov.gr,
556,565,"ΚΕΠ ΔΗΜΟΥ ΤΥΡΝΑΒΟΥ, Ν. ΛΑΡΙΣΑΣ",ΤΥΡΝΑΒΟΣ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ 5,40100,2492029216,2492026018,d.tyrnavou@kep.gov.gr,
557,566,"ΚΕΠ ΔΗΜΟΥ ΕΛΑΣΣΟΝΑΣ, Ν. ΛΑΡΙΣΑΣ","Ελασσόνας, Ν. Λάρισας",ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΜΑΥΡΟΔΗΜΟΥ ΚΑΙ 6ης ΟΚΤΩΒΡΙΟΥ 1,40200,2493025568,2493025567,d.elassonas@kep.gov.gr,
558,567,"ΚΕΠ ΔΗΜΟΥ ΝΕΑΠΟΛΗΣ, Ν. ΛΑΣΙΘΙΟΥ",-,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,Αναπήρων Πολέμου 1,72400,2841340044 2841340043 2841340042,2841090746,d.neapolis-lasithiou@kep.gov.gr,
559,568,"ΚΕΠ ΔΗΜΟΥ ΚΑΡΥΑΣ, Ν. ΛΕΥΚΑΔΑΣ",ΚΑΡΥΑ,ΝΟΜΟΣ ΛΕΥΚΑΔΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΑΡΥΑ,31080,2645041018,2645041018,d.karias@kep.gov.gr,
560,569,"ΚΕΠ ΔΗΜΟΥ ΣΦΑΚΙΩΤΩΝ, Ν. ΛΕΥΚΑΔΑΣ",-,ΝΟΜΟΣ ΛΕΥΚΑΔΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Λαζαράτα,31080,2645029478,2645029486,d.sfakioton@kep.gov.gr,
561,570,"ΚΕΠ ΔΗΜΟΥ ΑΦΕΤΩΝ, Ν. ΜΑΓΝΗΣΙΑΣ",ΑΦΕΤΩΝ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ ΣΥΚΗΣ -,-,2423054886,2423054886,d.afeton@kep.gov.gr,
562,571,"ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΝΑΒΡΑΣ, Ν. ΜΑΓΝΗΣΙΑΣ",ΑΝΑΒΡΑ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΑΝΑΒΡΑ,35010,2232091210,2232091183,k.anavras@kep.gov.gr,
563,573,"ΚΕΠ ΔΗΜΟΥ ΣΟΥΡΠΗΣ, Ν. ΜΑΓΝΗΣΙΑΣ",ΣΟΥΡΠΗ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΣΟΥΡΠΗ,37008,2422031887,2422031888,d.soyrpis@kep.gov.gr,
564,574,"ΚΕΠ ΔΗΜΟΥ ΚΑΡΛΑΣ, Ν. ΜΑΓΝΗΣΙΑΣ",-,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,Στεφανοβίκειο Μαγνησίας,37500,2425041603,2425041606,d.karlas@kep.gov.gr,
565,575,"ΚΕΠ ΔΗΜΟΥ ΠΤΕΛΕΟΥ, Ν. ΜΑΓΝΗΣΙΑΣ",ΠΤΕΛΕΟΣ ΜΑΓΝΗΣΙΑΣ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΠΤΕΛΕΟΥ,37007,2422041910,2422041911,d.pteleou@kep.gov.gr,
566,576,"ΚΕΠ ΔΗΜΟΥ ΦΕΡΩΝ, Ν. ΜΑΓΝΗΣΙΑΣ",ΒΕΛΕΣΤΙΝΟ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,Ρ.ΦΕΡΑΙΟΥ 30,37500,2425024290,2425024291,d.feron-magnisias@kep.gov.gr,
567,577,"ΚΕΠ ΔΗΜΟΥ ΔΩΡΙΟΥ, Ν. ΜΕΣΣΗΝΙΑΣ",ΔΩΡΙΟ ΜΕΣΣΗΝΙΑΣ,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΔΩΡΙΟ ΜΕΣΣΗΝΙΑΣ -,24011,2765031838,2765031836,d.doriou@kep.gov.gr,
568,578,"ΚΕΠ ΔΗΜΟΥ ΕΙΡΑΣ, Ν. ΜΕΣΣΗΝΙΑΣ",,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,,,,,d.eiras@kep.gov.gr,
569,579,"ΚΕΠ ΔΗΜΟΥ ΙΘΩΜΗΣ, Ν. ΜΕΣΣΗΝΙΑΣ",Μεσσηνία,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Βάλυρα,24002,2724027715,2724027716,d.itomis-messinias@kep.gov.gr,
570,580,"ΚΕΠ ΔΗΜΟΥ ΚΑΛΑΜΑΤΑΣ, Ν. ΜΕΣΣΗΝΙΑΣ",ΚΑΛΑΜΑΤΑ Ν. ΜΕΣΣΗΝΙΑΣ,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΙΣΤΟΜΕΝΟΥΣ 6,24100,2721092800 2721362700 2721362721 2721362723 2721362725 2721362726,2721095700,d.kalamatas@kep.gov.gr,
571,581,"ΚΕΠ ΔΗΜΟΥ ΚΥΠΑΡΙΣΣΙΑΣ, Ν. ΜΕΣΣΗΝΙΑΣ",ΚΥΠΑΡΙΣΣΙΑΣ,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΟΝΗΡΟΠΟΥΛΟΥ,24500,2761025540,2761025541,d.kyparissias@kep.gov.gr,
572,582,"ΚΕΠ ΔΗΜΟΥ ΦΙΛΙΑΤΡΩΝ, Ν. ΜΕΣΣΗΝΙΑΣ",ΦΙΛΙΑΤΡΑ ΜΕΣΣΗΝΙΑΣ,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ,24300,2761062844,2761062845,d.filiatron@kep.gov.gr,
573,583,"ΚΕΠ ΔΗΜΟΥ ΑΙΠΕΙΑΣ, Ν. ΜΕΣΣΗΝΙΑΣ",Μεσσηνία,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Αγ. Ανδρέας,24010,2725029520,2725029521,d.aipeias@kep.gov.gr,
574,584,"ΚΕΠ ΔΗΜΟΥ ΒΟΥΦΡΑΔΩΝ, Ν. ΜΕΣΣΗΝΙΑΣ",-,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Χατζή Μεσσηνίας,24014,2722081708,2722081741,d.voufradon@kep.gov.gr,
575,585,"ΚΕΠ ΔΗΜΟΥ ΑΒΔΗΡΩΝ, Ν. ΞΑΝΘΗΣ",Ξάνθη,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΞΑΝΘΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Άβδηρα,67061,2541051118,2541051707,d.avdiron@kep.gov.gr,
576,586,ΚΕΠ ΔΗΜΟΥ ΔΡΑΠΕΤΣΩΝΑΣ Ν. ΠΕΙΡΑΙΩΣ,ΔΡΑΠΕΤΣΩΝΑ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,ΣΩΚΡΑΤΟΥΣ & 25ης ΜΑΡΤΙΟΥ 90,18648,2104631996,2104635082,d.drapetsonas@kep.gov.gr,
577,587,"ΚΕΠ ΔΗΜΟΥ ΑΝΩΓΕΙΟΥ, Ν . ΠΡΕΒΕΖΑΣ",Φιλιππιάδα Πρέβεζας,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,ΗΠΕΙΡΟΥ,Γοργόμυλος,48200,2683081790,2683081792,d.anogeiou@kep.gov.gr,
